Region,Country/ Territory,Data collection,Year,Received
Africa,Ghana,GLOTIP,2020,0
Africa,Ghana,GLOTIP,2021,0
Africa,Ghana,GLOTIP,2022,0
Africa,Ghana,IDS,2019,1
Africa,Ghana,IDS,2020,1
Africa,Ghana,IDS,2021,0
Africa,Ghana,IDS,2022,0
Africa,Ghana,UN-CTS,2019,0
Africa,Ghana,UN-CTS,2020,0
Africa,Ghana,UN-CTS,2021,0
Africa,Ghana,UN-CTS,2022,0
Africa,Ghana,UN-IAFQ,2019,0
Africa,Ghana,UN-IAFQ,2020,0
Africa,Ghana,UN-IAFQ,2021,0
Africa,Ghana,UN-IAFQ,2022,0
Africa,Guinea,ARQ,2019,0
Africa,Guinea,ARQ,2020,0
Africa,Guinea,ARQ,2021,0
Africa,Guinea,ARQ,2022,0
Africa,Guinea,GLOTIP,2019,0
Africa,Guinea,GLOTIP,2020,0
Africa,Guinea,GLOTIP,2021,0
Africa,Guinea,GLOTIP,2022,0
Africa,Guinea,IDS,2019,0
Africa,Guinea,IDS,2020,0
Africa,Guinea,IDS,2021,0
Africa,Guinea,IDS,2022,1
Africa,Guinea,UN-CTS,2019,0
Africa,Guinea,UN-CTS,2020,0
Africa,Guinea,UN-CTS,2021,0
Africa,Guinea,UN-CTS,2022,0
Africa,Guinea,UN-IAFQ,2019,0
Africa,Guinea,UN-IAFQ,2020,0
Africa,Guinea,UN-IAFQ,2021,0
Africa,Guinea,UN-IAFQ,2022,0
Africa,Guinea Bissau,ARQ,2019,0
Africa,Guinea Bissau,ARQ,2020,0
Africa,Guinea Bissau,ARQ,2021,0
Africa,Guinea Bissau,ARQ,2022,0
Africa,Guinea Bissau,GLOTIP,2019,0
Africa,Guinea Bissau,GLOTIP,2020,0
Africa,Guinea Bissau,GLOTIP,2021,0
Africa,Guinea Bissau,GLOTIP,2022,0
Africa,Guinea Bissau,IDS,2019,0
Africa,Guinea Bissau,IDS,2020,0
Africa,Guinea Bissau,IDS,2021,0
Africa,Guinea Bissau,IDS,2022,0
Africa,Guinea Bissau,UN-CTS,2019,0
Africa,Guinea Bissau,UN-CTS,2020,0
Africa,Guinea Bissau,UN-CTS,2021,0
Africa,Guinea Bissau,UN-CTS,2022,0
Africa,Guinea Bissau,UN-IAFQ,2019,0
Africa,Guinea Bissau,UN-IAFQ,2020,0
Africa,Guinea Bissau,UN-IAFQ,2021,0
Africa,Guinea Bissau,UN-IAFQ,2022,0
Africa,Kenya,ARQ,2019,1
Africa,Kenya,ARQ,2020,1
Africa,Kenya,ARQ,2021,1
Africa,Kenya,ARQ,2022,1
Africa,Kenya,GLOTIP,2019,0
Africa,Kenya,GLOTIP,2020,0
Africa,Kenya,GLOTIP,2021,1
Africa,Kenya,GLOTIP,2022,0
Africa,Kenya,IDS,2019,1
Africa,Kenya,IDS,2020,1
Africa,Kenya,IDS,2021,1
Africa,Kenya,IDS,2022,0
Africa,Kenya,UN-CTS,2019,1
Africa,Kenya,UN-CTS,2020,0
Africa,Kenya,UN-CTS,2021,1
Africa,Kenya,UN-CTS,2022,1
Africa,Kenya,UN-IAFQ,2019,0
Africa,Kenya,UN-IAFQ,2020,0
Africa,Kenya,UN-IAFQ,2021,0
Africa,Kenya,UN-IAFQ,2022,1
Africa,Lesotho,ARQ,2019,0
Africa,Lesotho,ARQ,2020,0
Africa,Lesotho,ARQ,2021,0
Africa,Lesotho,ARQ,2022,0
Africa,Lesotho,GLOTIP,2019,0
Africa,Lesotho,GLOTIP,2020,0
Africa,Lesotho,GLOTIP,2021,0
Africa,Lesotho,GLOTIP,2022,0
Africa,Lesotho,IDS,2019,0
Africa,Lesotho,IDS,2020,0
Africa,Lesotho,IDS,2021,0
Africa,Lesotho,IDS,2022,0
Africa,Lesotho,UN-CTS,2019,0
Africa,Lesotho,UN-CTS,2020,0
Africa,Lesotho,UN-CTS,2021,0
Africa,Lesotho,UN-CTS,2022,0
Africa,Lesotho,UN-IAFQ,2019,0
Africa,Lesotho,UN-IAFQ,2020,0
Africa,Lesotho,UN-IAFQ,2021,0
Africa,Lesotho,UN-IAFQ,2022,0
Africa,Liberia,ARQ,2019,0
Africa,Liberia,ARQ,2020,0
Africa,Liberia,ARQ,2021,0
Africa,Liberia,ARQ,2022,0
Africa,Liberia,GLOTIP,2019,0
Africa,Liberia,GLOTIP,2020,0
Africa,Liberia,GLOTIP,2021,0
Africa,Liberia,GLOTIP,2022,0
Africa,Liberia,IDS,2019,0
Africa,Liberia,IDS,2020,0
Africa,Liberia,IDS,2021,0
Africa,Liberia,IDS,2022,0
Africa,Liberia,UN-CTS,2019,0
Africa,Liberia,UN-CTS,2020,0
Africa,Liberia,UN-CTS,2021,0
Africa,Liberia,UN-CTS,2022,0
Africa,Liberia,UN-IAFQ,2019,0
Africa,Liberia,UN-IAFQ,2020,0
Africa,Liberia,UN-IAFQ,2021,0
Africa,Liberia,UN-IAFQ,2022,0
Africa,Libya,ARQ,2019,0
Africa,Libya,ARQ,2020,0
Africa,Libya,ARQ,2021,0
Africa,Libya,ARQ,2022,0
Africa,Libya,GLOTIP,2019,0
Africa,Libya,GLOTIP,2020,0
Africa,Libya,GLOTIP,2021,0
Africa,Libya,GLOTIP,2022,0
Africa,Libya,IDS,2019,0
Africa,Libya,IDS,2020,0
Africa,Libya,IDS,2021,0
Africa,Libya,IDS,2022,0
Africa,Libya,UN-CTS,2019,0
Africa,Libya,UN-CTS,2020,0
Africa,Libya,UN-CTS,2021,0
Africa,Libya,UN-CTS,2022,0
Africa,Libya,UN-IAFQ,2019,0
Africa,Libya,UN-IAFQ,2020,0
Africa,Libya,UN-IAFQ,2021,0
Africa,Libya,UN-IAFQ,2022,0
Africa,Madagascar,ARQ,2019,1
Africa,Madagascar,ARQ,2020,0
Africa,Madagascar,ARQ,2021,0
Africa,Madagascar,ARQ,2022,0
Africa,Madagascar,GLOTIP,2019,0
Africa,Madagascar,GLOTIP,2020,0
Africa,Madagascar,GLOTIP,2021,0
Africa,Madagascar,GLOTIP,2022,1
Africa,Madagascar,IDS,2019,1
